producto,precio,tamaño,sizes_format
"Aceite de oliva 0,4º Hacendado",7.62,1.0,l
Aceite de oliva virgen extra Hacendado,26.70,3.0,l
Aceite de oliva virgen extra Hacendado,8.95,1.0,l
Aceite de oliva virgen extra Hacendado Gran Selección,7.60,0.75,l
Aceite de oliva 1º Hacendado,7.62,1.0,l
Aceite de oliva virgen Hacendado,23.40,3.0,l
Aceite de oliva virgen Hacendado,7.90,1.0,l
Aceite de oliva suave Hacendado,22.76,3.0,l
Aceite de oliva intenso Hacendado,22.76,3.0,l
Aceite de oliva virgen extra Hacendado,3.00,0.2,l
Aceite de oliva virgen extra Picual Casa Juncal,7.30,0.5,l
"Aceite de girasol refinado 0,2º Hacendado",6.75,5.0,l
"Aceite de girasol refinado 0,2º Hacendado",1.45,1.0,l
Aceite de coco virgen Hacendado,4.40,0.45,l
Vinagre de vino blanco Hacendado,0.65,1.0,l
Vinagre de manzana Hacendado,0.80,1.0,l
Limón exprimido Hacendado,1.00,0.28,l
Crema de vinagre balsámico de Módena Hacendado,1.75,0.25,kg
Vinagre de Jerez reserva Hacendado,2.00,0.25,l
Reducción de vinagre Pedro Ximénez Hacendado,2.25,0.3,kg
Vinagre balsámico de Módena Hacendado,2.35,0.5,l
Sal fina Hacendado,0.35,1.0,kg
Sal fina de mesa Hacendado,0.75,0.3,kg
Sal yodada fina Hacendado,0.35,1.0,kg
Sal gruesa Hacendado,0.35,1.0,kg
Bicarbonato sódico Hacendado,1.50,1.0,kg
Bicarbonato sódico Hacendado,1.10,0.3,kg
Sal marina en escamas Polasal,2.00,0.125,kg
Sal gruesa para hornear Hacendado,1.10,2.0,kg
Sal de ajo Hacendado,1.80,0.13,kg
Sal de frutas sabor limón Hacendado,2.10,0.25,kg
Sal 60% menos de sodio Hacendado,2.30,0.25,kg
Preparado para salmón ahumado Hacendado,3.30,0.75,kg
Sal rosa del Himalaya Hacendado,2.65,1.0,kg
Orégano Hacendado,0.95,0.025,kg
Perejil Hacendado,0.90,0.018,kg
Hoja de laurel Hacendado,0.80,0.012,kg
Hierbas provenzales Hacendado,1.20,0.025,kg
Albahaca Hacendado,1.25,0.02,kg
Romero Hacendado,1.35,0.04,kg
Tomillo Hacendado,1.05,0.024,kg
Eneldo Hacendado,1.85,0.018,kg
Cilantro Hacendado,1.85,0.012,kg
Ajo y Perejil Hacendado,1.35,0.074,kg
Colorante alimentario Hacendado,0.95,0.085,kg
Pimentón dulce Hacendado,1.00,0.056,kg
Pimentón dulce de la Vera Hacendado,1.75,0.075,kg
Azafrán molido Hacendado,1.80,0.0004,kg
Azafrán hebra Hacendado,1.80,0.0004,kg
Pimentón picante Hacendado,1.35,0.06,kg
Pimentón dulce Hacendado,1.30,0.075,kg
Pimienta negra molida Hacendado,1.15,0.07,kg
Molinillo pimienta negra Hacendado,1.65,0.065,kg
Pimienta negra en grano Hacendado,1.50,0.07,kg
Molinillo mix pimientas Hacendado,1.85,0.05,kg
Pimienta blanca molida Hacendado,2.15,0.07,kg
Ajo granulado Hacendado,1.10,0.115,kg
Cebolla frita crujiente Hacendado,1.15,0.15,kg
Canela molida Hacendado,1.00,0.052,kg
Canela en rama Hacendado,1.45,0.019,kg
Comino molido Hacendado,1.20,0.058,kg
Comino en grano Hacendado,1.95,0.056,kg
Curry Hacendado,1.15,0.057,kg
Nuez moscada molida Hacendado,1.65,0.058,kg
Cebolla en polvo Hacendado,0.90,0.06,kg
Cayena guindillas Hacendado,1.30,0.027,kg
Cayena molida Hacendado,1.59,0.055,kg
Cúrcuma Hacendado,1.30,0.06,kg
Jengibre molido Hacendado,1.65,0.049,kg
Sal de ajo Hacendado,1.80,0.13,kg
Ñoras Hacendado,1.50,0.025,kg
Clavo en grano Hacendado,1.75,0.042,kg
Piñones Hacendado,2.90,0.07,kg
Sazonador para fajitas Hacendado sabor tex-mex,0.85,0.017,kg
Sazonador ajo y limón Hacendado para carne y pescado,1.05,0.03,kg
Sazonador hierbas provenzales Hacendado para pollo y costillas,1.00,0.024,kg
Sazonador sabor barbacoa Hacendado para carne,1.30,0.057,kg
Sazonador para paella con azafrán Hacendado,1.45,0.02,kg
Sazonador para burritos Hacendado,1.30,0.04,kg
Sazonador pollo y carne Hacendado,1.40,0.076,kg
Sazonador pasta Hacendado,1.60,0.045,kg
Mezcla de especias para gazpacho manchego Hacendado,2.50,0.01,kg
"Sazonador sabor queso y bacon Hacendado para patatas, snacks, carnes y salsas",0.85,0.009,kg
Mayonesa Hacendado,1.10,0.5,l
Mayonesa Hacendado,0.95,0.24,l
Mayonesa Hacendado,1.25,0.46,l
Mayonesa en sobres individuales,1.25,0.24,l
Mayonesa Hellmann's,2.95,0.45,l
Mayonesa Hellmann's,1.95,0.225,l
Salsa ligera Ligeresa,2.65,0.425,l
Salsa ligera Ligeresa,1.55,0.21,l
Salsa ligera Ligeresa,2.65,0.43,l
Mayonesa Musa,2.45,0.54,l
Salsa ligera Hacendado,1.20,0.5,l
Salsa ligera Hacendado,1.25,0.46,l
Ketchup Hacendado,1.25,0.6,kg
Ketchup Hacendado en sobres individuales,1.40,0.24,kg
Ketchup Heinz,3.50,0.65,kg
Ketchup zero azúcares añadidos Hacendado,1.60,0.6,kg
Mostaza a la antigua Hacendado,1.70,0.2,kg
Mostaza de Dijon Hacendado,1.25,0.2,kg
Mostaza clásica Hacendado,1.35,0.388,kg
Allioli Chovi,1.35,0.18,l
Allioli Hacendado,1.05,0.2,l
Allioli en sobres individuales Hacendado,1.50,0.16,l
Tomate frito Hacendado,1.40,1.2,kg
Tomate frito Hacendado,0.90,0.63,kg
Tomate frito Hacendado,0.85,0.56,kg
Tomate frito receta artesana Hacendado,2.20,0.56,kg
Tomate frito receta artesana Hacendado,1.50,0.3,kg
Tomate frito Hida,1.75,0.4,kg
Tomate frito estilo casero Hacendado,1.20,0.38,kg
Tomate frito Hacendado con aceite de oliva,1.40,0.63,kg
Tomate frito sin azúcares añadidos Hacendado,1.10,0.56,kg
Tomate frito con cebolla Hacendado,1.35,0.38,kg
Salsa barbacoa Hacendado,1.15,0.35,kg
Salsa pimienta verde Hacendado,1.25,0.05,kg
Salsa burger Hacendado,1.35,0.25,l
Salsa estilo argentino Hacendado,1.50,0.3,kg
Salsa Piri Piri Hacendado,1.00,0.195,l
Salsa curry Tikka Masala Hacendado picante,2.00,0.18,kg
Salsa barbacoa zero azúcares añadidos Hacendado,1.45,0.33,kg
Salsa pesto con albahaca Hacendado,1.95,0.19,kg
Salsa de tomate boloñesa Hacendado,1.55,0.29,kg
Salsa de tomate Basilico con albahaca Hacendado,1.40,0.29,kg
Salsa fresca Trufa Hacendado,1.45,0.14,kg
Salsa fresca Queso Hacendado,1.45,0.18,kg
Salsa fresca Pesto con albahaca Hacendado,2.00,0.15,kg
Salsa fresca Setas Hacendado,1.65,0.2,kg
Salsa fresca Carbonara Hacendado,1.65,0.2,kg
Salsa de soja Hacendado,1.30,0.25,l
Salsa teriyaki Hacendado,1.65,0.25,l
Salsa agridulce Hacendado,1.50,0.34,kg
Salsa thai chili dulce J-Lek,1.55,0.25,l
Salsa de soja sin gluten Hacendado,2.50,0.25,l
Guacamole Hacendado,3.95,0.5,kg
Guacamole Hacendado,1.85,0.2,kg
Salsa yogur Hacendado,1.20,0.31,l
Salsa mexicana Hacendado,1.25,0.3,kg
Salsa Ranch Hacendado,1.35,0.25,l
Salsa césar Hacendado,1.40,0.31,l
"Aliño de aceite, ajo y perejil Hacendado",1.75,0.15,l
Salsa miel y mostaza Hacendado,1.45,0.34,kg
Salsa de trufas,3.10,0.08,kg
Salsa gajos rústica Hacendado,1.35,0.25,l
Salsa de queso Hacendado,1.65,0.28,l
Chili con carne Hacendado,2.65,0.42,kg
Salsa cocktail Hacendado,1.30,0.46,l
Carne de pimiento choricero Hacendado,1.55,0.14,kg
Pasta de sésamo Tahini Hacendado,2.95,0.2,kg
Salsa bechamel Knorr,2.75,0.6,l
Agua mineral grande Bronchales,1.26,6.0,l
Agua mineral grande Bronchales,2.34,9.0,l
Agua mineral grande Bronchales,0.39,1.5,l
Agua mineral mediana Bronchales,3.00,6.0,l
Agua mineral mediana Bronchales,0.50,1.0,l
Agua mineral pequeña Bronchales,1.62,3.0,l
Agua mineral pequeña Bronchales,0.27,0.5,l
Agua mineral pequeña Bronchales tapón infantil,2.28,1.98,l
Agua mineral pequeña Bronchales tapón infantil,0.38,0.33,l
Agua mineral grande Cortes,0.89,8.0,l
Agua mineral grande Cortes,0.78,6.0,l
Agua mineral grande Cortes,1.50,9.0,l
Agua mineral grande Cortes,0.25,1.5,l
Agua mineral mediana Cortes,2.40,6.0,l
Agua mineral mediana Cortes,0.40,1.0,l
Agua mineral pequeña Cortes,1.32,3.0,l
Agua mineral pequeña Cortes,0.22,0.5,l
Agua mineral pequeña Cortes tapón infantil,1.44,1.98,l
Agua mineral pequeña Cortes tapón infantil,0.24,0.33,l
Agua mineral grande Bezoya,4.14,9.0,l
Agua mineral grande Bezoya,0.69,1.5,l
Agua mineral grande Nestlé Aquarel,3.54,9.0,l
Agua mineral grande Nestlé Aquarel,0.59,1.5,l
Agua mineral grande Font Vella,3.78,9.0,l
Agua mineral grande Font Vella,0.67,1.5,l
Agua mineral grande Solán de Cabras,5.22,9.0,l
Agua mineral grande Solán de Cabras,0.87,1.5,l
Agua mineral grande Lanjarón,4.20,9.0,l
Agua mineral grande Lanjarón,0.73,1.5,l
Agua de coco Chaokoh 100% natural,2.60,1.0,l
Agua mineral con gas grande Vichy Catalan,1.49,1.0,l
Agua mineral con gas pequeña Vichy Catalan,5.89,1.8,l
Agua mineral con gas grande Cortes,2.46,9.0,l
Agua mineral con gas grande Cortes,0.41,1.5,l
Agua mineral con gas pequeña Cortes,1.62,3.0,l
Agua mineral con gas pequeña Cortes,0.27,0.5,l
Agua mineral con gas grande San Pellegrino,8.16,6.0,l
Agua mineral con gas grande San Pellegrino,1.36,1.0,l
Agua de soda con sifón La Casa,1.60,1.5,l
Agua mineral con gas grande Fonter,6.84,6.0,l
Agua mineral con gas grande Fonter,1.14,1.0,l
Gaseosa Hacendado grande,0.50,1.5,l
Gaseosa Hacendado pequeña,1.92,3.0,l
Gaseosa Hacendado pequeña,0.32,0.5,l
Gaseosa La Casera grande,2.36,3.0,l
Gaseosa La Casera grande,1.20,1.5,l
